id,name,address,postal_code,city,state,latitude,longitude,google_maps_url,phone,opening_hours,website,description,is_fenced,has_water,has_agility,has_seating,has_waste_bins,has_lighting,has_parking,photos,rating,reviews,size,last_updated,data_source
1,Hundeauslaufgebiet Grunewald,"Jagen 86, 14193 Berlin",14193,Berlin,Berlin,52.4838,13.2393,https://goo.gl/maps/8ZQJQbP5vZJ2,,24/7,https://www.berlin.de/forsten/waldschutz/hundeauslauf/,Großes Hundeauslaufgebiet im Grunewald mit vielen Wegen und Wasserzugang. Ideal für längere Spaziergänge mit dem Hund.,no,yes,no,yes,yes,no,yes,,4.7,"Toller Wald für Hunde! | Sehr schönes Auslaufgebiet, viel Platz zum Toben | Perfekt für lange Spaziergänge mit dem Hund",large,2025-04-11,Sample Data
2,Hundeplatz Mauerpark,"Gleimstraße 55, 10437 Berlin",10437,Berlin,Berlin,52.5419,13.4022,https://goo.gl/maps/vN8YQZ1LXLJ2,,Mo-So: 06:00-22:00 Uhr,,Eingezäunter Hundeplatz im beliebten Mauerpark. Besonders am Wochenende sehr gut besucht.,yes,no,no,yes,yes,yes,no,,4.2,"Guter Platz für Hunde zum Spielen | Manchmal sehr voll, aber die Hunde haben Spaß | Schön eingezäunt, fühlt sich sicher an",medium,2025-04-11,Sample Data
3,Hundefreilaufgebiet Tempelhofer Feld,"Tempelhofer Damm, 12101 Berlin",12101,Berlin,Berlin,52.4738,13.4043,https://goo.gl/maps/XyZ123AbC,,Sommer: 06:00-22:30 Uhr; Winter: 07:00-20:30 Uhr,https://gruen-berlin.de/tempelhofer-feld,Großzügiges Hundeauslaufgebiet auf dem ehemaligen Flughafen Tempelhof. Viel Platz zum Rennen und Spielen.,partially,no,no,yes,yes,partial,yes,,4.8,"Perfekt für Hunde, die gerne rennen | Riesige Fläche, ideal für aktive Hunde | Mein Hund liebt es hier",large,2025-04-11,Sample Data
4,Hundeauslaufzone Stadtpark,"Stadtpark, 22303 Hamburg",22303,Hamburg,Hamburg,53.5964,10.0152,https://goo.gl/maps/AbCdEfG123,,24/7,https://www.hamburg.de/stadtpark/,Beliebte Hundeauslaufzone im Hamburger Stadtpark mit viel Grünfläche.,no,yes,no,yes,yes,partial,yes,,4.5,Schöne große Fläche für Hunde | Viele andere Hunde zum Spielen | Gut gepflegt und sauber,large,2025-04-11,Sample Data
5,Hundeplatz Alstervorland,"Schwanenwik, 22087 Hamburg",22087,Hamburg,Hamburg,53.5662,10.0159,https://goo.gl/maps/123XyZAbC,,24/7,,Hundeauslaufzone mit Alsterblick. Besonders beliebt bei Hundebesitzern aus der Innenstadt.,no,yes,no,yes,yes,yes,limited,,4.3,Tolle Lage an der Alster | Hunde können auch ins Wasser | Manchmal etwas überfüllt am Wochenende,medium,2025-04-11,Sample Data
6,Hundewiese Englischer Garten,"Englischer Garten, 80538 München",80538,München,Bayern,48.1642,11.6057,https://goo.gl/maps/AbC123XyZ,,24/7,https://www.muenchen.de/freizeit/englischer-garten,Hundewiese im berühmten Englischen Garten. Viel Platz zum Spielen und Toben.,no,yes,no,yes,yes,partial,yes,,4.6,Wunderschöne Umgebung für Hundespaziergänge | Mein Hund liebt es hier | Viel Platz zum Rennen,large,2025-04-11,Sample Data
7,Eingezäunte Hundewiese Riemer Park,"Riemer Park, 81829 München",81829,München,Bayern,48.1308,11.7018,https://goo.gl/maps/123AbCXyZ,,24/7,,"Große eingezäunte Hundewiese im Riemer Park. Ideal für Hunde, die sicher spielen sollen.",yes,yes,yes,yes,yes,no,yes,,4.9,"Perfekt eingezäunt, ideal für unsichere Hunde | Tolle Agility-Geräte | Sehr sauber und gut gepflegt",large,2025-04-11,Sample Data
8,Hundespielplatz Stadtwald,"Stadtwald, 50935 Köln",50935,Köln,Nordrhein-Westfalen,50.9246,6.9192,https://goo.gl/maps/XyZ123AbC,,24/7,,Beliebter Hundespielplatz im Kölner Stadtwald mit verschiedenen Spielgeräten.,yes,yes,yes,yes,yes,no,yes,,4.7,"Toller Spielplatz für Hunde | Die Agility-Geräte sind super | Mein Hund freut sich immer, wenn wir hierher kommen",medium,2025-04-11,Sample Data
9,Hundefreilauffläche Rheinpark,"Rheinpark, 50679 Köln",50679,Köln,Nordrhein-Westfalen,50.9472,6.9767,https://goo.gl/maps/AbC123XyZ,,Sommer: 06:00-22:00 Uhr; Winter: 07:00-20:00 Uhr,https://www.koeln.de/freizeit/rheinpark,Hundefreilauffläche mit Rheinblick. Besonders schön bei gutem Wetter.,partially,yes,no,yes,yes,yes,yes,,4.4,Schöne Lage am Rhein | Hunde können auch ins Wasser | Gut erreichbar mit öffentlichen Verkehrsmitteln,medium,2025-04-11,Sample Data
10,Hundewiese Großer Garten,"Großer Garten, 01069 Dresden",01069,Dresden,Sachsen,51.0373,13.7644,https://goo.gl/maps/123XyZAbC,,24/7,,Hundewiese im historischen Großen Garten. Viel Platz zum Spielen in schöner Umgebung.,no,no,no,yes,yes,partial,yes,,4.3,Schöne Grünfläche für Hunde | Historische Umgebung | Gut erreichbar,medium,2025-04-11,Sample Data
11,Hundeauslaufgebiet Niddapark,"Niddapark, 60439 Frankfurt",60439,Frankfurt,Hessen,50.1477,8.6363,https://goo.gl/maps/AbCXyZ123,,24/7,https://www.frankfurt.de/niddapark,Großes Hundeauslaufgebiet im Niddapark mit Wasserzugang. Ideal für aktive Hunde.,partially,yes,no,yes,yes,no,yes,,4.5,Tolles Gebiet zum Laufen | Mein Hund liebt das Wasser hier | Viel Platz zum Spielen mit anderen Hunden,large,2025-04-11,Sample Data
12,Hundewiese Eilenriede,"Eilenriede, 30161 Hannover",30161,Hannover,Niedersachsen,52.3844,9.7731,https://goo.gl/maps/123AbCXyZ,,24/7,,Hundewiese im größten Stadtwald Europas. Viele Wege und Flächen für Hunde.,no,yes,no,yes,yes,partial,yes,,4.6,Wunderschöner Wald für Hundespaziergänge | Viele Wege zum Erkunden | Gut gepflegt,large,2025-04-11,Sample Data
13,Hunde Indoor Spielplatz Berlin,"Industriestraße 85, 13088 Berlin",13088,Berlin,Berlin,52.5558,13.4242,https://goo.gl/maps/AbC123XyZ,+49 30 12345678,Mo-Fr: 10:00-19:00 Uhr; Sa-So: 10:00-18:00 Uhr,https://hunde-indoor-berlin.de,Indoor Hundespielplatz für alle Wetterlagen. Mit verschiedenen Spielgeräten und Agility-Parcours.,yes,yes,yes,yes,yes,yes,yes,,4.8,Perfekt für Regentage | Tolle Ausstattung | Freundliches Personal und saubere Anlage,medium,2025-04-11,Sample Data
14,Doggy Hall München,"Gewerbestraße 12, 80939 München",80939,München,Bayern,48.1895,11.5786,https://goo.gl/maps/XyZ123AbC,+49 89 87654321,Mo-Fr: 09:00-20:00 Uhr; Sa-So: 10:00-18:00 Uhr,https://doggy-hall.de,Große Indoor-Spielfläche für Hunde mit Agility-Parcours und Trainingsangeboten.,yes,yes,yes,yes,yes,yes,yes,,4.7,Super Konzept | Mein Hund liebt es hier | Gute Trainingsmöglichkeiten,large,2025-04-11,Sample Data
15,Eingezäunte Hundewiese Volkspark Friedrichshain,"Friedrichshain, 10249 Berlin",10249,Berlin,Berlin,52.5269,13.4359,https://goo.gl/maps/123XyZAbC,,24/7,,Komplett eingezäunte Hundewiese im Volkspark Friedrichshain. Sicher für ängstliche Hunde oder Welpen.,yes,yes,no,yes,yes,partial,limited,,4.6,Sehr gut eingezäunt | Sicher für unsichere Hunde | Angenehme Größe,medium,2025-04-11,Sample Data
